"Id","CategoryId","BrandId","Name","Slug","DiscountPercent","Status","BasePrice","Description","Overview","Specs","TotalSold","CreatedAt","UpdatedAt","AverageRating","TotalReviews"
"31","8","10","LG UltraGear 27GN800-B","lg-ultragear-27gn800",,"available","8490000.00","LG 27GN800 27 inch QHD IPS 144Hz, thời gian phản hồi 1ms, HDR10.","Màn hình gaming 27 inch QHD 144Hz, tấm nền IPS Nano, G-Sync.","[{""Name"":""Kích thước"",""Value"":[""27 inch""]},{""Name"":""Độ phân giải"",""Value"":[""QHD 2560x1440""]},{""Name"":""Tấm nền"",""Value"":[""IPS Nano Color""]},{""Name"":""Tần số quét"",""Value"":[""144Hz""]},{""Name"":""Cổng kết nối"",""Value"":[""HDMI 2.0 x2"",""DisplayPort 1.4""]},{""Name"":""Đồng bộ"",""Value"":[""G-Sync Compatible"",""FreeSync Premium""]}]","0","2025-01-15 10:00:00+00","2025-01-15 10:00:00+00","0","0"
"40","13","11","Logitech MX Keys","logitech-mx-keys",,"available","2990000.00","Logitech MX Keys với phím Perfect Stroke, kết nối multi-device, pin 10 ngày.","Bàn phím không dây cao cấp cho văn phòng, đèn nền thông minh.","[{""Name"":""Kiểu kết nối"",""Value"":[""Bluetooth"",""USB Receiver""]},{""Name"":""Layout"",""Value"":[""Full-size""]},{""Name"":""Đèn nền"",""Value"":[""Có - Tự động điều chỉnh""]},{""Name"":""Pin"",""Value"":[""Sạc USB-C - 10 ngày với đèn""]},{""Name"":""Multi-device"",""Value"":[""3 thiết bị""]}]","0","2025-01-15 10:00:00+00","2025-01-15 10:00:00+00","0","0"
"41","13","12","Razer BlackWidow V4 Pro","razer-blackwidow-v4-pro",,"available","5990000.00","Razer BlackWidow V4 Pro với Command Dial, switch cơ học, RGB per-key.","Bàn phím cơ gaming cao cấp RGB Chroma, switch Green Clicky.","[{""Name"":""Kiểu"",""Value"":[""Cơ học""]},{""Name"":""Switch"",""Value"":[""Razer Green Clicky""]},{""Name"":""Đèn nền"",""Value"":[""RGB Chroma per-key""]},{""Name"":""Kết nối"",""Value"":[""USB Type-C có dây""]},{""Name"":""Tính năng"",""Value"":[""Command Dial"",""Media keys""]}]","0","2025-01-15 10:00:00+00","2025-01-15 10:00:00+00","0","0"
"50","14","11","Logitech MX Master 3S","logitech-mx-master-3s",,"available","2490000.00","Logitech MX Master 3S với MagSpeed Wheel, kết nối multi-device, pin 70 ngày.","Chuột không dây ergonomic cho năng suất cao, sensor 8K DPI.","[{""Name"":""Sensor"",""Value"":[""Darkfield 8000 DPI""]},{""Name"":""Kết nối"",""Value"":[""Bluetooth"",""USB Receiver""]},{""Name"":""Pin"",""Value"":[""70 ngày""]},{""Name"":""Số nút"",""Value"":[""7 nút có thể tùy chỉnh""]},{""Name"":""Multi-device"",""Value"":[""3 thiết bị""]}]","0","2025-01-15 10:00:00+00","2025-01-15 10:00:00+00","0","0"
"51","14","12","Razer Viper V2 Pro","razer-viper-v2-pro",,"available","3990000.00","Razer Viper V2 Pro với HyperSpeed Wireless, optical switch Gen 3, pin 80 giờ.","Chuột gaming không dây siêu nhẹ 58g, sensor Focus Pro 30K.","[{""Name"":""Sensor"",""Value"":[""Focus Pro 30K DPI""]},{""Name"":""Trọng lượng"",""Value"":[""58g""]},{""Name"":""Kết nối"",""Value"":[""HyperSpeed Wireless 2.4GHz""]},{""Name"":""Pin"",""Value"":[""80 giờ""]},{""Name"":""Switch"",""Value"":[""Optical Gen 3""]}]","0","2025-01-15 10:00:00+00","2025-01-15 10:00:00+00","0","0"
"61","15","2","Apple AirPods Pro 2","apple-airpods-pro-2",,"available","6490000.00","AirPods Pro 2 với Adaptive Audio, Transparency Mode, case sạc MagSafe và loa tìm kiếm.","Tai nghe true wireless với ANC tốt nhất, chip H2, sạc MagSafe.","[{""Name"":""Kiểu"",""Value"":[""In-ear True Wireless""]},{""Name"":""Chip"",""Value"":[""Apple H2""]},{""Name"":""ANC"",""Value"":[""Có - Adaptive""]},{""Name"":""Pin"",""Value"":[""6 giờ tai nghe"",""30 giờ với case""]},{""Name"":""Sạc"",""Value"":[""MagSafe"",""USB-C"",""Apple Watch charger""]},{""Name"":""Kháng nước"",""Value"":[""IPX4""]}]","12","2025-01-15 10:00:00+00","2025-12-27 10:25:36.394453+00","0","0"
"70","16","14","Anker 747 GaNPrime 150W","anker-747-ganprime-150w",,"available","2490000.00","Anker 747 Charger với công nghệ GaN, ActiveShield 2.0, sạc laptop, điện thoại đồng thời.","Sạc nhanh GaN 150W, 4 cổng (3 USB-C + 1 USB-A), sạc cùng lúc 4 thiết bị.","[{""Name"":""Công suất"",""Value"":[""150W tối đa""]},{""Name"":""Cổng"",""Value"":[""3x USB-C (100W+45W+45W)"",""1x USB-A (22.5W)""]},{""Name"":""Công nghệ"",""Value"":[""GaN III"",""ActiveShield 2.0""]},{""Name"":""Điện áp"",""Value"":[""100-240V""]},{""Name"":""Bảo vệ"",""Value"":[""Quá nhiệt"",""Quá dòng"",""Ngắn mạch""]}]","0","2025-01-15 10:00:00+00","2025-01-15 10:00:00+00","0","0"
"71","16","15","Baseus 100W USB-C Cable 2m","baseus-100w-usb-c-cable",,"available","290000.00","Baseus 100W Cable với E-Marker chip, hỗ trợ PD 3.0, QC 4.0, data transfer 480Mbps.","Cáp sạc nhanh USB-C to USB-C 100W, dây bện nylon bền, dài 2m.","[{""Name"":""Chiều dài"",""Value"":[""2 mét""]},{""Name"":""Đầu nối"",""Value"":[""USB-C to USB-C""]},{""Name"":""Vật liệu"",""Value"":[""Nylon braided + Zinc alloy""]},{""Name"":""Công suất"",""Value"":[""100W (20V/5A)""]},{""Name"":""Tốc độ dữ liệu"",""Value"":[""480Mbps""]}]","0","2025-01-15 10:00:00+00","2025-01-15 10:00:00+00","0","0"
"80","17","16","Spigen Rugged Armor iPhone 15 Pro","spigen-rugged-armor-iphone-15-pro",,"available","490000.00","Spigen Rugged Armor với vật liệu TPU mềm, viền chống trầy, tản nhiệt tốt.","Ốp lưng chống sốc cho iPhone 15 Pro, thiết kế Carbon Fiber.","[{""Name"":""Vật liệu"",""Value"":[""TPU dẻo""]},{""Name"":""Chống sốc"",""Value"":[""Có - Air Cushion Technology""]},{""Name"":""Tương thích"",""Value"":[""iPhone 15 Pro (6.1 inch)""]},{""Name"":""Thiết kế"",""Value"":[""Carbon Fiber texture""]},{""Name"":""Viền camera"",""Value"":[""Nổi bảo vệ camera""]}]","4","2025-01-15 10:00:00+00","2025-12-22 17:50:51.483417+00","0","0"
"81","17","17","Tomtoc Laptop Sleeve 13-14 inch","tomtoc-laptop-sleeve-13-14",,"available","790000.00","Tomtoc 360° Protective Laptop Sleeve với CornerArmor bảo vệ góc, YKK zipper.","Túi chống sốc laptop 13-14 inch, lót CornerArmor, chống nước.","[{""Name"":""Vật liệu"",""Value"":[""Ballistic Nylon 1680D""]},{""Name"":""Kích thước"",""Value"":[""13-14 inch laptops""]},{""Name"":""Chống nước"",""Value"":[""Có - Lớp phủ water-resistant""]},{""Name"":""Lót đệm"",""Value"":[""CornerArmor + Foam padding""]},{""Name"":""Khóa kéo"",""Value"":[""YKK RC Fuse""]}]","0","2025-01-15 10:00:00+00","2025-01-15 10:00:00+00","0","0"
"82","3","6","Sting","string","0","available","7990000.00","sting daau","tra dau size L","[{""Name"":""Color"",""Value"":[""Red"",""Silver""]},{""Name"":""Screen Size"",""Value"":[""11 inch"",""9 inch""]},{""Name"":""Storage"",""Value"":[""32GB"",""64GB""]}]","0","2025-12-06 16:39:33.349+00","2025-12-30 05:49:08.911844+00","0","0"
"83","5","11","SBTC","sbtc","0","available","200000.00",,"Song bang tinh cam","{}","0","2025-12-22 09:58:54.856664+00","2025-12-26 13:56:36.994806+00","0","0"
"84","5","10","Web languages","vibe-coding","0","available","7999000.00",,,"[{""Name"":""Color"",""Value"":[""Black""]},{""Name"":""Lens"",""Value"":[""2x""]},{""Name"":""Warranty Period"",""Value"":[""12""]}]","0","2025-12-28 00:02:50.125481+00","2025-12-30 05:49:08.911844+00","0","0"
"99","1","3","Laptop Asus Vivobook S14 S3407CA-LY068WS (Ultra 5-225H/ 16GB/ 512GB/ Windows 11 + Office + Microsoft)","laptop-asus-vivobook-s14-s3407ca-ly068ws","0","available","19990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5""]},{""Name"":""GPU"",""Value"":[""GTX 1650""]},{""Name"":""RAM"",""Value"":[""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch""]},{""Name"":""Storage"",""Value"":[""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"100","1","5","Laptop Lenovo IdeaPad Slim 3 15ARP10 - 83K700GDVN (R5 7535HS/ 16GB/ 512GB/ Windows 11)","laptop-lenovo-ideapad-slim-3-15arp10-83k700gdvn","0","available","17990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"101","1","1","Laptop Dell 15 DC15250 - CPH99 (i5-1334U/ 16GB/ 512GB/ Windows 11 + Office)","laptop-dell-15-dc15250-cph99","0","available","20990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"102","1","4","Laptop HP Victus 15 fa2731TX (B85LNPA) (i5-13420H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Windows 11)","laptop-hp-victus-15-fa2731tx-b85lnpa","0","available","25990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"103","1","4","Laptop HP 15-fc0656AU - C81NHPA (Ryzen 5 7430U/ 16GB/ 512GB/ Windows 11)","laptop-hp-15-fc0656au-c81nhpa","0","available","14990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"104","1","3","Laptop Asus Vivobook 14 X1404VA-EB509W (i3-1315U/ 8GB/ 512GB/ Windows 11)","laptop-asus-vivobook-14-x1404va-eb509w","0","available","15990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"105","1","6","Laptop Acer Aspire 7 A715-59G-57TU (i5-12450H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Windows 11)","laptop-acer-aspire-7-a715-59g-57tu","0","available","23990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"106","1","4","Laptop HP 15-fd0823TU - C81NMPA (i7-1355U/ 16GB/ 512GB/ Windows 11)","laptop-hp-15-fd0823tu-c81nmpa","0","available","24990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"107","1","7","Laptop Msi Modern 15 F13MG-667VN_16G (i5-1334U/ 16GB/ 512GB/ Windows 11)","laptop-msi-modern-15-f13mg-667vn-16g","0","available","19990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"108","1","4","Laptop HP Victus 15-fb3116AX - BX8U4PA (Ryzen 7 7445HS/ GeForce RTX™ 3050/ 16GB/ 512GB/ Windows 11)","laptop-hp-victus-15-fb3116ax-bx8u4pa","0","available","26990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"109","1","6","Laptop Aspire Lite 15 AL15-41P-R3U5 (Ryzen 7 5700U/ 16GB/ 512GB/ Windows 11)","laptop-aspire-lite-15-al15-41p-r3u5","0","available","15990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"110","1","3","Laptop Asus TUF Gaming F16 FX607VU-RL045W (Core 5 210H/ GeForce RTX™ 4050/ 16GB/ 512GB/ Windows 11)","laptop-asus-tuf-gaming-f16-fx607vu-rl045w","0","available","29990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"111","1","6","Laptop Aspire Lite 15 AL15-72P-581V (i5-13500H/ 16GB/ 512GB/ Windows 11)","laptop-aspire-lite-15-al15-72p-581v","0","available","18990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"112","1","4","Laptop HP 15-fd0304TU - A2NL5PA (i3-1315U/ 8GB/ 512GB/ Windows 11)","laptop-hp-15-fd0304tu-a2nl5pa","0","available","13500000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"113","1","3","Laptop Asus Vivobook Go 14 E1404FA-EB482W (Ryzen 5 7520U/ 16GB/ 512GB/ Windows 11)","laptop-asus-vivobook-go-14-e1404fa-eb482w","0","available","16990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"114","1","3","Laptop Asus Vivobook 15 X1502VA-BQ886W (i7-13620H/ 16GB/ 512GB/ Windows 11)","laptop-asus-vivobook-15-x1502va-bq886w","0","available","27990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"115","1","4","Laptop HP 250 G10 - A06FFPT (i7-1355U/ 16GB/ 512GB/ Windows 11)","laptop-hp-250-g10-a06ffpt","0","available","18990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
"116","1","1","Laptop Dell 15 DC15250 - CPH997 (i7-1355U/ 16GB/ 1TB/ Windows 11 + Office)","laptop-dell-15-dc15250-cph997","0","available","22990000.00","","","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""GPU"",""Value"":[""GTX 1650"",""RTX 4060""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch"",""17 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD"",""512GB SSD""]}]","0","2025-12-30 04:26:27.293359+00","2025-12-30 05:49:08.911844+00","0","0"
